Topic,Count,Name,Representation,Representative_Docs,Importance
25,32,25_play time_time player_player time_time,"['play time', 'time player', 'player time', 'time', 'time like', 'time play', 'time good', 'thing time', 'time playing', 'doesnt time']","['play time', 'time player time player', 'dont much every time like every thing need time time play play hour still like first time still every time play']",0.007909045971329708
26,32,26_dont dont_know dont_dont_dont know,"['dont dont', 'know dont', 'dont', 'dont know', 'know', 'good dont', 'youre know', 'doesnt know', 'dont like', 'know much']","['dont know', 'doesnt know dont', 'dont know dont']",0.007909045971329708
27,31,27_update_update play_like update_playing update,"['update', 'update play', 'like update', 'playing update', 'update like', 'player update', 'play update', 'made update', 'update first', 'content playing']","['update play', 'update play need update every update better even update This thing time', 'update need play like update play good']",0.007661888284725655
28,30,28_player player_player_player this_much player,"['player player', 'player', 'player this', 'much player', 'player much', 'this player', 'player also', 'also player', 'really player', 'this really']","['player', 'player', 'player']",0.007414730598121601
29,29,29_update update_update_this update_update this,"['update update', 'update', 'this update', 'update this', 'update youre', 'youre update', 'update also', 'update would', 'work update', 'need update']","['update', 'update', 'update']",0.007167572911517549
30,29,30_update_update review_review update_review,"['update', 'update review', 'review update', 'review', 'make review', 'time update', 'update good', 'update made', 'update time', 'update story']","['every still update need update review update like also made story hour hour', 'update review', 'update story still issue dont cant character review update This still also cant even update work make review point time update still update time point issue also review update also youre youre still youre youre cant back back doesnt would need back also play back even This']",0.007167572911517549
31,28,31_character_character like_character character_character dont,"['character', 'character like', 'character character', 'character dont', 'play character', 'feel character', 'character good', 'made character', 'character feel', 'character many']","['character', 'character', 'character']",0.006920415224913495
32,27,32_play play_make play_play good_also played,"['play play', 'make play', 'play good', 'also played', 'play like', 'playing play', 'play', 'play youre', 'play playing', 'youre play']","['even would point like also played like like', 'make play like playing', 'This great youre played also played']",0.0066732575383094414
33,27,33_point point_point_know point_need point,"['point point', 'point', 'know point', 'need point', 'point better', 'good know', 'really point', 'point make', 'know really', 'point this']","['point', 'point', 'good know point like']",0.0066732575383094414
34,26,34_system_time system_system time_system really,"['system', 'time system', 'system time', 'system really', 'system could', 'hour', 'playing system', 'hour good', 'played hour', 'system system']","['play played dont want hour need playing system like time great issue back system even playing time system time', 'This cant really recommend playing system system point time dont dont want back time system time back really could', 'issue back back back still back make could would also thing playing would dont know time system know much playing many player like like know make This would could dont system would recommend playing hour back much would really want system really make']",0.006426099851705388
35,25,35_review_review review_good review_review good,"['review', 'review review', 'good review', 'review good', 'review want', 'great review', 'review issue', 'want review', 'content review', 'review content']","['review', 'good review review', 'review']",0.006178942165101334
36,25,36_need need_need_need this_this need,"['need need', 'need', 'need this', 'this need', 'need really', 'every need', 'need dont', 'really need', 'like need', 'need still']","['need', 'need', 'need']",0.006178942165101334
37,25,37_would play_player could_play would_would,"['would play', 'player could', 'play would', 'would', 'could play', 'would would', 'could', 'would every', 'play this', 'every would']","['would play', 'This This could play would would', 'play would play This']",0.006178942165101334
